SMILES,logK
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.3035
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.4825
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.5507
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.5507
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.5507
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.5507
